City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,manokwari,-0.8667,134.0833,25.78,78,10,1.27,ID,1681410686
232,pinas,-3.6667,-79.65,29.62,85,96,2.01,EC,1681410687
233,brae,60.3964,-1.353,6.62,88,100,6.74,GB,1681410687
234,samarai,-10.6167,150.6667,26.92,77,100,4.1,PG,1681410687
235,labuhan,-6.8844,112.2051,25.12,86,76,5.06,ID,1681410687
236,general roca,-39.0333,-67.5833,15.35,45,100,3.93,AR,1681410688
237,kaohsiung,22.6163,120.3133,24.46,85,20,1.03,TW,1681410514
238,baracoa,20.3467,-74.4958,28.09,71,60,3.39,CU,1681410688
239,new norfolk,-42.7826,147.0587,11.62,89,78,0.43,AU,1681410688
240,mayahi,13.9553,7.6712,30.88,12,100,4.37,NE,1681410689
241,geraldton,-28.7667,114.6,18.23,68,40,11.83,AU,1681410560
242,klaksvik,62.2266,-6.589,8.51,83,100,6.22,FO,1681410689
243,ekhabi,53.5102,142.9671,-2.8,96,100,2.88,RU,1681410690
244,pacific grove,36.6177,-121.9166,15.77,57,0,3.6,US,1681410690
245,shimoda,34.6667,138.95,13.39,82,71,4.56,JP,1681410456
246,bambous virieux,-20.3428,57.7575,25.12,94,40,1.54,MU,1681410691
247,saint-augustin,51.226,-58.6502,6.37,65,100,4.63,CA,1681410691
248,makueni,-1.8041,37.6203,18.06,94,92,1.16,KE,1681410692
249,hoa binh,20.8133,105.3383,25.5,94,100,1.26,VN,1681410692
250,toamasina,-18.1667,49.3833,26.0,89,40,0.51,MG,1681410693
251,okato,-39.2,173.8833,16.62,100,100,3.43,NZ,1681410693
252,coahuayana,18.7333,-103.6833,32.52,35,6,3.77,MX,1681410693
253,maraba,-5.3686,-49.1178,30.1,74,40,1.03,BR,1681410694
254,shizunai,42.3339,142.3669,5.85,93,100,1.32,JP,1681410694
255,jining,35.405,116.5814,15.19,93,55,2.54,CN,1681410694
256,ambon,-3.6954,128.1814,25.08,94,40,2.06,ID,1681410694
257,yumen,40.2833,97.2,6.64,34,100,5.21,CN,1681410694
258,ginir,7.1333,40.7,14.78,84,95,2.17,ET,1681410694
259,deputatskiy,69.3,139.9,-19.23,99,100,0.61,RU,1681410695
260,dudinka,69.4058,86.1778,-23.73,100,100,1.28,RU,1681410695
261,zonguldak,41.25,31.8333,5.44,84,9,2.3,TR,1681410695
262,gouyave,12.1646,-61.7296,25.64,75,100,6.47,GD,1681410695
263,kavaratti,10.5669,72.642,28.76,74,100,2.83,IN,1681410695
264,barguzin,53.6167,109.6167,-9.33,80,4,0.43,RU,1681410695
265,yichun,47.7,128.9,-2.52,80,100,1.25,CN,1681410696
266,herat,34.5,62.0,23.15,16,97,4.14,AF,1681410696
267,chemodanovka,53.2316,45.2474,15.24,1,100,8.21,RU,1681410696
